# Linha de centro do Eixão (DF-002), sentido sul -> norte.
# GERADO por gera_rota.py em 2026-09-24. Não edite à mão.
#
# Origem: OpenStreetMap via Overpass API, ways com ref=DF-002
# na caixa (-15.90,-47.96)-(-15.70,-47.82). Dados ODbL.
# 450 nós brutos -> 88 pontos de centro,
# 16.53 km de percurso em um sentido.
lat,lon
-15.857830,-47.933819
-15.856561,-47.933438
-15.855291,-47.933159
-15.851482,-47.932667
-15.850212,-47.932238
-15.848943,-47.931847
-15.847673,-47.931661
-15.845134,-47.931513
-15.843864,-47.931388
-15.842594,-47.931223
-15.841324,-47.930976
-15.840055,-47.930533
-15.838785,-47.929700
-15.837515,-47.928631
-15.836246,-47.927185
-15.834976,-47.925550
-15.833706,-47.923849
-15.832437,-47.922074
-15.831167,-47.920187
-15.829897,-47.918074
-15.828628,-47.915937
-15.826088,-47.913911
-15.824819,-47.911823
-15.823549,-47.909755
-15.822279,-47.908259
-15.821009,-47.906419
-15.819740,-47.904506
-15.818470,-47.902893
-15.817200,-47.901149
-15.815931,-47.899355
-15.814661,-47.897968
-15.813391,-47.896530
-15.812122,-47.895013
-15.810852,-47.893714
-15.809582,-47.892484
-15.808313,-47.891305
-15.807043,-47.890128
-15.805773,-47.889046
-15.804503,-47.888140
-15.803234,-47.887162
-15.801964,-47.886311
-15.800694,-47.885588
-15.799425,-47.884986
-15.798155,-47.884375
-15.796885,-47.883791
-15.795616,-47.883174
-15.793076,-47.882656
-15.791807,-47.882174
-15.790537,-47.881724
-15.789267,-47.881371
-15.787998,-47.881103
-15.786728,-47.880875
-15.785458,-47.880712
-15.784188,-47.880614
-15.782919,-47.880562
-15.781649,-47.880582
-15.780379,-47.880625
-15.779110,-47.880712
-15.777840,-47.880810
-15.776570,-47.880934
-15.775301,-47.881067
-15.774031,-47.881234
-15.772761,-47.881421
-15.771492,-47.881643
-15.770222,-47.881894
-15.768952,-47.882170
-15.767682,-47.882532
-15.766413,-47.882914
-15.763873,-47.883483
-15.762604,-47.884028
-15.760064,-47.884590
-15.758795,-47.885078
-15.757525,-47.885712
-15.756255,-47.886179
-15.753716,-47.886708
-15.752446,-47.887387
-15.751176,-47.888048
-15.747367,-47.888586
-15.746098,-47.889204
-15.744828,-47.889823
-15.742289,-47.890255
-15.741019,-47.890779
-15.739749,-47.891249
-15.738480,-47.891694
-15.737210,-47.892145
-15.735940,-47.892663
-15.733401,-47.892888
-15.732131,-47.893179
